feature,importance,signed_coef
province_Jawa Tengah,1.445267447498821,-1.445267447498821
province_Sumatera Utara,1.3659678822905736,-1.3659678822905736
province_Lampung,1.2515207080924535,1.2515207080924535
province_Riau,1.0368137691776855,1.0368137691776855
food_price_index,1.0211629934020476,1.0211629934020476
province_Sulawesi Selatan,0.9502778831605742,0.9502778831605742
exchange_rate_change_pct,0.922111879552654,0.922111879552654
province_Jawa Timur,0.863343336109351,0.863343336109351
hotel_occupancy_rate,0.8302859416613189,-0.8302859416613189
rainfall_index,0.761018887952455,0.761018887952455
online_sentiment_score,0.7585536538970027,-0.7585536538970027
province_Sumatera Selatan,0.6482039209711766,-0.6482039209711766
province_Kalimantan Timur,0.4992219386050243,0.4992219386050243
quarter,0.4924003558484759,-0.4924003558484759
province_Jawa Barat,0.4795865729347256,-0.4795865729347256
month_num,0.46386622066219196,0.46386622066219196
qris_transactions_growth_pct,0.43031219530452564,-0.43031219530452564
province_DKI Jakarta,0.33625378887304147,-0.33625378887304147
province_NTB,0.22144127092920013,-0.22144127092920013
commodity_price_index,0.21875823551546508,0.21875823551546508
province_Bali,0.12261075401272734,-0.12261075401272734
unemployment_rate,0.09630477451902875,-0.09630477451902875
